area_sqft,bedrooms,bathrooms,floor_number,total_floors,balcony,parking,lift,security,gym,power_backup,latitude,longitude,dist_city_center_km,dist_infocity_km,dist_kiit_km,dist_airport_km,dist_khandagiri_km,dist_sum_hospital_km,dist_railway_station_km,dist_it_park_km,rent,furnishing_semi-furnished,furnishing_unfurnished,property_type_builder_floor,property_type_independent_house,property_type_studio,property_type_villa,locality_count,luxury_score,amenity_count,floor_ratio,rooms_per_sqft,parking_to_area
784,1,1,7,10,0,2,1,0,0,0,20.37197,85.83989,8.588,3.168,2.18,14.415,13.169,8.479,12.045,3.868,18000,True,False,False,False,False,False,43,0.7,3,0.7,0.0025510204081632,0.0025510204081632
1051,1,1,0,20,0,2,1,0,0,1,20.37298,85.82813,8.557,2.238,1.632,14.382,12.664,8.212,12.181,3.194,34000,True,False,False,False,False,False,91,0.7,4,0.0,0.0019029495718363,0.0019029495718363
494,1,1,13,13,1,0,1,0,1,0,20.37531,85.82043,8.818,2.003,1.895,14.604,12.56,8.318,12.52,3.134,12000,True,False,False,False,False,False,39,0.55,3,1.0,0.0040485829959514,0.0
1321,2,2,1,17,2,0,1,1,0,1,20.28827,85.7851,4.2,8.354,8.844,5.989,2.249,2.932,5.999,7.251,27000,False,True,False,False,True,False,63,0.55,5,0.0588235294117647,0.0030280090840272,0.0
1268,3,2,7,12,0,0,1,1,0,1,20.36587,85.83514,7.837,2.442,1.366,13.671,12.331,7.668,11.361,3.046,16500,False,True,True,False,False,False,35,0.55,3,0.5833333333333334,0.0039432176656151,0.0
1519,2,2,8,8,2,2,1,0,0,1,20.34731,85.80539,6.033,1.494,2.361,11.56,9.084,5.146,9.84,0.797,41000,True,False,False,False,False,False,80,0.7,6,1.0,0.0026333113890717,0.0013166556945358
1169,2,2,7,13,0,0,1,1,0,0,20.25964,85.80289,4.639,11.065,11.243,2.333,3.362,4.674,3.514,9.882,18000,False,False,True,False,False,False,20,0.55,2,0.5384615384615384,0.0034217279726261,0.0
1589,2,2,10,10,2,1,1,1,1,0,20.33401,85.8052,4.671,2.863,3.404,10.095,7.72,3.677,8.464,1.755,37500,False,False,False,False,False,False,29,1.0,6,1.0,0.0025173064820641,0.000629326620516
1147,2,2,13,15,1,0,1,1,1,0,20.29879,85.83097,0.738,6.92,6.696,6.245,6.751,2.245,3.941,5.784,25000,False,True,False,False,True,False,68,0.8,4,0.8666666666666667,0.003487358326068,0.0
596,1,1,13,13,1,1,1,1,0,0,20.27354,85.85616,4.147,10.484,10.028,5.177,8.657,5.748,2.343,9.424,14500,True,False,False,False,False,False,33,0.75,4,1.0,0.0033557046979865,0.0016778523489932
700,1,1,8,13,0,1,1,1,0,0,20.34388,85.81836,5.351,1.74,1.768,11.106,9.334,4.833,9.11,0.723,20500,True,False,False,False,False,False,43,0.75,3,0.6153846153846154,0.0028571428571428,0.0014285714285714
1032,1,1,9,19,0,0,1,0,0,1,20.27757,85.84575,3.026,9.646,9.289,4.737,7.598,4.596,1.83,8.544,18000,False,True,False,False,False,False,47,0.3,2,0.4736842105263157,0.001937984496124,0.0
2182,4,4,7,7,1,2,1,1,0,0,20.35987,85.82349,7.092,1.101,0.167,12.898,11.148,6.683,10.777,1.714,47500,False,True,False,False,True,False,91,0.95,5,1.0,0.0036663611365719,0.0009165902841429
1223,2,2,5,11,2,2,1,0,0,1,20.34978,85.81172,6.116,1.001,1.661,11.779,9.597,5.406,9.909,0.239,30500,False,True,False,False,False,False,104,0.7,6,0.4545454545454545,0.0032706459525756,0.0016353229762878
1028,2,2,14,14,0,0,1,0,0,0,20.26659,85.79892,4.229,10.347,10.584,3.192,2.736,4.006,3.912,9.171,13000,False,True,False,False,False,False,20,0.3,1,1.0,0.0038910505836575,0.0
1083,2,1,2,4,1,0,1,1,1,0,20.36569,85.83056,7.764,1.989,1.002,13.597,12.071,7.497,11.357,2.687,28000,False,True,False,False,False,False,91,0.8,4,0.5,0.002770083102493,0.0
2082,3,3,15,15,3,1,1,1,0,1,20.34229,85.84553,5.585,3.851,2.852,11.306,10.91,5.909,8.792,3.45,34000,False,True,False,False,False,False,41,0.75,7,1.0,0.0028818443804034,0.0004803073967339
1897,3,3,3,4,3,2,1,0,1,1,20.28178,85.7734,5.562,9.498,10.077,6.253,1.154,4.349,6.862,8.442,36000,False,False,False,False,False,False,53,0.95,8,0.75,0.0031628887717448,0.0010542962572482
690,1,1,7,7,1,2,1,0,0,0,20.35898,85.82794,7.001,1.558,0.36,12.829,11.288,6.703,10.63,1.979,21000,True,False,False,False,False,False,104,0.7,4,1.0,0.0028985507246376,0.0028985507246376
1069,2,1,12,12,0,1,1,1,0,1,20.36422,85.81661,7.619,0.72,1.026,13.368,11.27,7.046,11.364,1.842,25500,False,True,False,False,False,False,80,0.75,4,1.0,0.0028063610851262,0.000935453695042
235,1,1,1,13,0,0,1,0,1,0,20.35389,85.82919,6.445,1.771,0.725,12.277,10.873,6.205,10.056,1.81,8000,True,False,False,False,False,False,104,0.55,2,0.0769230769230769,0.0085106382978723,0.0
675,1,1,7,15,0,2,1,0,0,1,20.28858,85.84665,2.457,8.55,8.132,5.799,7.896,4.111,2.97,7.481,16000,True,False,False,False,False,False,33,0.7,4,0.4666666666666667,0.0029629629629629,0.0029629629629629
1121,1,1,10,10,1,1,1,1,0,0,20.29246,85.8485,2.536,8.243,7.779,6.268,8.196,4.172,3.442,7.2,23500,True,False,False,False,False,False,30,0.75,4,1.0,0.0017841213202497,0.0008920606601248
1314,2,2,3,5,2,0,1,1,0,0,20.35665,85.8242,6.733,1.19,0.23,12.544,10.869,6.351,10.412,1.513,30000,False,True,False,False,False,False,91,0.55,4,0.6,0.0030441400304414,0.0
820,1,1,9,19,0,2,1,0,0,0,20.29932,85.80863,1.693,6.618,6.807,6.225,4.826,0.232,4.901,5.432,19000,False,True,True,False,False,False,63,0.7,3,0.4736842105263157,0.0024390243902439,0.0024390243902439
2043,3,3,4,11,2,2,1,1,0,1,20.30659,85.8276,1.21,5.991,5.803,7.034,6.892,1.971,4.855,4.85,42000,False,True,False,False,False,False,68,0.95,7,0.3636363636363636,0.0029368575624082,0.0009789525208027
1371,3,2,13,13,0,0,1,1,1,1,20.32538,85.80738,3.713,3.751,4.113,9.114,6.981,2.699,7.492,2.583,24000,False,True,False,False,False,False,29,0.8,4,1.0,0.0036469730123997,0.0
1001,2,1,3,5,2,0,1,0,0,0,20.26076,85.78641,5.588,11.238,11.592,3.768,1.816,5.106,5.214,10.089,19000,False,False,False,False,False,False,46,0.3,3,0.6,0.0029970029970029,0.0
1417,3,2,11,11,1,2,1,1,0,0,20.29094,85.82819,0.691,7.699,7.544,5.331,6.133,2.25,3.145,6.54,36000,False,False,False,False,False,False,68,0.95,5,1.0,0.0035285815102328,0.0014114326040931
718,1,1,5,16,0,0,1,1,0,0,20.33423,85.80246,4.823,2.934,3.561,10.16,7.624,3.747,8.6,1.885,14500,False,True,False,True,False,False,29,0.55,2,0.3125,0.0027855153203342,0.0
1462,3,2,12,12,3,0,1,1,0,0,20.28957,85.81781,1.007,7.703,7.718,5.067,5.073,1.551,3.463,6.516,35000,False,False,False,False,False,False,68,0.55,5,1.0,0.0034199726402188,0.0
